rank,release_date,title,url,production_cost,domestic_gross,worldwide_gross,opening_weekend,mpaa,genre,theaters,runtime,year,percentage_domestic,percentage_worldwide
164,15/9/2021,Dune,/movie/Dune-(2020)#tab=summary,165000000,108327830,397720527,41011174,PG-13,Action,4125,156,2021,65.65,241.04
165,22/6/2016,Independence Day: Resurgence,/movie/Independence-Day-Resurgence#tab=summary,165000000,103144286,384169424,41039944,PG-13,Action,4091,119,2016,62.51,232.83
166,29/7/2011,Cowboys and Aliens,/movie/Cowboys-and-Aliens#tab=summary,163000000,100368560,176038324,36431290,PG-13,Action,3754,118,2011,61.58,108.00
167,16/3/2017,Beauty and the Beast,/movie/Beauty-and-the-Beast-(2017)#tab=summary,160000000,504014165,1270042058,174750616,PG,Musical,4210,123,2017,315.01,793.78
168,27/6/2019,Spider-Man: Far From Home,/movie/Spider-Man-Far-From-Home-(2019)#tab=summary,160000000,390532085,1132532832,92579212,PG-13,Action,4634,129,2019,244.08,707.83
169,6/12/2018,Aquaman,/movie/Aquaman-(2018)#tab=summary,160000000,335061807,1143758700,67873522,PG-13,Action,4184,143,2018,209.41,714.85
170,17/5/2007,Shrek the Third,/movie/Shrek-the-Third#tab=summary,160000000,322719944,807330936,121629270,PG,Adventure,4172,92,2007,201.70,504.58
171,16/7/2010,Inception,/movie/Inception#tab=summary,160000000,292576195,728582465,62785337,PG-13,Thriller/Suspense,3792,147,2010,182.86,455.36
172,18/11/2015,The Hunger Games: Mockingjay - Part 2,/movie/Hunger-Games-Mockingjay-Part-2-The#tab=summary,160000000,281723902,648986787,102665981,PG-13,Thriller/Suspense,4175,136,2015,176.08,405.62
173,17/5/2013,Fast and Furious 6,/movie/Fast-and-Furious-6#tab=summary,160000000,238679850,789300444,97375245,PG-13,Action,3771,130,2013,149.17,493.31
174,14/5/2014,Godzilla,/movie/Godzilla-(2014)#tab=summary,160000000,200676069,529076069,93188384,PG-13,Action,3952,123,2014,125.42,330.67
175,3/6/2011,X-Men: First Class,/movie/X-Men-First-Class#tab=summary,160000000,146408305,355408305,55101604,PG-13,Action,3692,132,2011,91.51,222.13
176,25/12/2008,The Curious Case of Benjamin Button,/movie/Curious-Case-of-Benjamin-Button-The#tab=summary,160000000,127509326,329631958,26853816,PG-13,Drama,2988,167,2008,79.69,206.02
177,14/7/2010,The Sorcerer's Apprentice,/movie/Sorcerers-Apprentice-The#tab=summary,160000000,63150991,217986320,17619622,PG,Adventure,3504,108,2010,39.47,136.24
178,12/5/2006,Poseidon,/movie/Poseidon#tab=summary,160000000,60674817,181674817,22155410,PG-13,Adventure,3555,NA,2006,37.92,113.55
179,25/5/2016,Warcraft,/movie/Warcraft#tab=summary,160000000,47365290,438899824,24166110,PG-13,Action,3406,123,2016,29.60,274.31
180,1/11/2019,The Irishman,/movie/Irishman-The-(2019)#tab=summary,159000000,0,910234,NA,R,Drama,NA,210,2019,0.00,0.57
181,29/9/2016,Deepwater Horizon,/movie/Deepwater-Horizon#tab=summary,156000000,61433527,122359309,20223544,PG-13,Thriller/Suspense,3403,107,2016,39.38,78.44
182,10/12/2010,The Chronicles of Narnia: The Voyage of the Daw…,/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary,155000000,104386950,418186950,NA,NA,NA,NA,NA,2010,67.35,269.80
183,25/3/2021,Godzilla vs. Kong,/movie/Godzilla-vs-Kong-(2020)#tab=summary,155000000,100916094,468064628,32200000,PG-13,Action,3084,113,2021,65.11,301.98
184,24/6/2015,Terminator: Genisys,/movie/Terminator-Genisys#tab=summary,155000000,89760956,432150894,27018486,PG-13,Action,3783,126,2015,57.91,278.81
185,16/3/2018,Pacific Rim: Uprising,/movie/Pacific-Rim-Uprising#tab=summary,155000000,59874525,290930148,28116535,PG-13,Action,3708,111,2018,38.63,187.70
186,24/11/2004,Alexander,/movie/Alexander#tab=summary,155000000,34297191,167297191,13687087,R,Action,2445,175,2004,22.13,107.93
187,14/7/2017,War for the Planet of the Apes,/movie/War-for-the-Planet-of-the-Apes#tab=summary,152000000,146880162,489592267,56262929,PG-13,Action,4100,142,2017,96.63,322.10
188,25/5/2001,Pearl Harbor,/movie/Pearl-Harbor#tab=summary,151500000,198539855,449239853,59078912,PG-13,Action,3255,182,2001,131.05,296.53
189,2/7/2007,Transformers,/movie/Transformers#tab=summary,151000000,319246193,708272592,70502384,PG-13,Action,4050,142,2007,211.42,469.05
190,20/11/2019,Frozen II,/movie/Frozen-II-(2019)#tab=summary,150000000,477373578,1445182280,130263358,PG,Adventure,4440,103,2019,318.25,963.45
191,29/5/2017,Wonder Woman,/movie/Wonder-Woman-(2017)#tab=summary,150000000,412563408,818058221,103251471,PG-13,Action,4165,141,2017,275.04,545.37
192,22/11/2013,Frozen,/movie/Frozen-(2013)#tab=summary,150000000,400953009,1261788407,243390,PG,Musical,3742,102,2013,267.30,841.19
193,10/2/2016,Zootopia,/movie/Zootopia-(2016)#tab=summary,150000000,341268248,1004629935,75063401,PG,Adventure,3959,108,2016,227.51,669.75
194,11/7/2007,Harry Potter and the Order of the Phoenix,/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary,150000000,292137260,939619849,77108414,PG-13,Adventure,4285,138,2007,194.76,626.41
195,18/11/2005,Harry Potter and the Goblet of Fire,/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary,150000000,290201752,886746240,102685961,PG-13,Adventure,3858,150,2005,193.47,591.16
196,15/5/2003,The Matrix Reloaded,/movie/Matrix-Reloaded-The#tab=summary,150000000,281553689,738576929,91774413,R,Action,3603,138,2003,187.70,492.38
197,14/12/2007,I am Legend,/movie/I-am-Legend#tab=summary,150000000,256393010,585532684,77211321,PG-13,Horror,3648,100,2007,170.93,390.36
198,27/1/2016,Moana,/movie/Moana-(2016)#tab=summary,150000000,248757044,631617146,56631401,PG,Musical,3875,113,2016,165.84,421.08
199,1/7/2008,Hancock,/movie/Hancock-(2008)#tab=summary,150000000,227946274,624234272,62603879,PG-13,Action,3965,92,2008,151.96,416.16
200,1/9/2021,Shang-Chi and the Legend of the Ten Rings,/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary,150000000,224543292,432243292,75388688,PG-13,Action,4300,132,2021,149.70,288.16
201,15/7/2005,Charlie and the Chocolate Factory,/movie/Charlie-and-the-Chocolate-Factory-(2005)#tab=summary,150000000,206459076,475825484,56178450,PG,Adventure,3790,115,2005,137.64,317.22
202,29/6/2007,Ratatouille,/movie/Ratatouille#tab=summary,150000000,206445654,626549695,47027395,G,Adventure,3940,110,2007,137.63,417.70
203,30/10/2013,Thor: The Dark World,/movie/Thor-The-Dark-World#tab=summary,150000000,206362140,644602516,85737841,PG-13,Action,3841,111,2013,137.57,429.74
204,15/6/2005,Batman Begins,/movie/Batman-Begins#tab=summary,150000000,205343774,358858124,48745440,PG-13,Action,3858,140,2005,136.90,239.24
205,29/7/2015,Mission: Impossible—Rogue Nation,/movie/Mission-Impossible-Rogue-Nation#tab=summary,150000000,195042377,688858992,55520089,PG-13,Action,3988,131,2015,130.03,459.24
206,18/7/2017,Dunkirk,/movie/Dunkirk-(2017)#tab=summary,150000000,190068280,518058826,50513488,PG-13,Action,4014,107,2017,126.71,345.37
207,29/4/2011,Thor,/movie/Thor#tab=summary,150000000,181030624,449326618,65723338,PG-13,Action,3963,113,2011,120.69,299.55
208,7/11/2008,Madagascar: Escape 2 Africa,/movie/Madagascar-Escape-2-Africa#tab=summary,150000000,180174880,599680774,63106589,PG,Adventure,4065,89,2008,120.12,399.79
209,1/5/2009,X-Men Origins: Wolverine,/movie/X-Men-Origins-Wolverine#tab=summary,150000000,179883157,374825760,85058003,PG-13,Action,4102,107,2009,119.92,249.88
210,22/5/2009,Night at the Museum: Battle of the Smithsonian,/movie/Night-at-the-Museum-Battle-of-the-Smithsonian#tab=summary,150000000,177243721,402231063,54173286,PG,Adventure,4101,105,2009,118.16,268.15
211,26/5/2011,Kung Fu Panda 2,/movie/Kung-Fu-Panda-2#tab=summary,150000000,165249063,664837547,47656302,PG,Adventure,3952,90,2011,110.17,443.23
212,14/5/2015,Mad Max: Fury Road,/movie/Mad-Max-Fury-Road#tab=summary,150000000,153636354,367457874,45428128,R,Action,3722,120,2015,102.42,244.97
213,3/5/2019,Pokémon: Detective Pikachu,/movie/Pokemon-Detective-Pikachu-(2019)#tab=summary,150000000,144105346,431344168,54365242,PG,Adventure,4248,104,2019,96.07,287.56
214,5/11/2003,The Matrix Revolutions,/movie/Matrix-Revolutions-The#tab=summary,150000000,139270910,427300260,48475154,R,Action,3502,129,2003,92.85,284.87
215,20/3/2018,Ready Player One,/movie/Ready-Player-One#tab=summary,150000000,137690172,579055653,41769050,PG-13,Adventure,4234,140,2018,91.79,386.04
216,4/11/2005,Chicken Little,/movie/Chicken-Little#tab=summary,150000000,135386665,310043823,40049778,G,Adventure,3658,82,2005,90.26,206.70
217,5/5/2006,Mission: Impossible III,/movie/Mission-Impossible-III#tab=summary,150000000,133501348,399387745,47743273,PG-13,Action,4059,126,2006,89.00,266.26
218,15/5/2009,Angels & Demons,/movie/Angels-and-Demons#tab=summary,150000000,133375846,490875846,46204168,PG-13,Thriller/Suspense,3527,138,2009,88.92,327.25
219,13/5/2004,Troy,/movie/Troy#tab=summary,150000000,133298577,483152040,46865412,R,Action,3411,162,2004,88.87,322.10
220,1/7/2010,The Last Airbender,/movie/Last-Airbender-The#tab=summary,150000000,131772187,319713881,40325019,PG,Adventure,3203,103,2010,87.85,213.14
221,2/11/2007,Bee Movie,/movie/Bee-Movie#tab=summary,150000000,126631277,287594577,38021044,PG,Adventure,3984,90,2007,84.42,191.73
222,24/7/2009,G-Force,/movie/G-Force#tab=summary,150000000,119436770,292817841,31706934,PG,Adventure,3697,87,2009,79.62,195.21
223,21/11/2008,Bolt,/movie/Bolt#tab=summary,150000000,114053579,328015029,26223128,PG,Adventure,3654,96,2008,76.04,218.68
224,24/11/2021,Encanto,/movie/Encanto-(2021)#tab=summary,150000000,96093622,230873149,27206494,PG,Adventure,3980,109,2021,64.06,153.92
225,28/3/2012,Wrath of the Titans,/movie/Wrath-of-the-Titans#tab=summary,150000000,83670083,305270083,33457188,PG-13,Adventure,3545,99,2012,55.78,203.51
226,16/11/2007,Beowulf,/movie/Beowulf#tab=summary,150000000,82280579,195080579,27515871,PG-13,Adventure,3249,115,2007,54.85,130.05
227,9/5/2012,Dark Shadows,/movie/Dark-Shadows#tab=summary,150000000,79727149,238202668,29685274,PG-13,Black Comedy,3755,112,2012,53.15,158.80
228,28/6/2013,White House Down,/movie/White-House-Down#tab=summary,150000000,73103784,205440387,24852258,PG-13,Thriller/Suspense,3222,131,2013,48.74,136.96
229,14/7/2021,Space Jam: A New Legacy,/movie/Space-Jam-A-New-Legacy#tab=summary,150000000,70592228,144003749,31053362,PG,Comedy,4002,115,2021,47.06,96.00
230,12/2/2010,The Wolfman,/movie/Wolfman-The-(2010)#tab=summary,150000000,62189884,142634358,31479235,R,Horror,3223,102,2010,41.46,95.09
231,15/12/2016,The Great Wall,/movie/Great-Wall-The#tab=summary,150000000,45157105,334486852,18469620,PG-13,Action,3328,104,2016,30.10,222.99
232,25/9/2015,Pan,/movie/Pan-(2015)#tab=summary,150000000,35088320,151525973,15315435,PG,Adventure,3515,111,2015,23.39,101.02
233,11/3/2011,Mars Needs Moms,/movie/Mars-Needs-Moms#tab=summary,150000000,21392758,39549758,6914488,PG,Adventure,3117,88,2011,14.26,26.37
234,3/2/2022,Moonfall,/movie/Moonfall-(2022)#tab=summary,150000000,19060660,59049032,9868997,PG-13,Action,3446,124,2022,12.71,39.37
235,4/11/2021,Red Notice,/movie/Red-Notice-(2020)#tab=summary,150000000,0,173638,NA,PG-13,Action,NA,115,2021,0.00,0.12
236,13/12/2019,6 Underground,/movie/6-Underground-(2019)#tab=summary,150000000,0,0,NA,R,Action,NA,128,2019,0.00,0.00
237,3/11/2006,Flushed Away,/movie/Flushed-Away#tab=summary,149000000,64665672,179357126,18814323,PG,Adventure,3707,85,2006,43.40,120.37
238,8/6/2012,Madagascar 3: Europe's Most Wanted,/movie/Madagascar-3#tab=summary,145000000,216391482,746921271,60316738,PG,Adventure,4263,85,2012,149.24,515.12
239,14/12/2011,Mission: Impossible—Ghost Protocol,/movie/Mission-Impossible-Ghost-Protocol#tab=summary,145000000,209397903,694713230,12785204,PG-13,Action,3555,132,2011,144.41,479.11
240,5/6/2014,How to Train Your Dragon 2,/movie/How-to-Train-Your-Dragon-2-(2014)#tab=summary,145000000,177002924,614586270,49451322,PG,Adventure,4268,102,2014,122.07,423.85
241,16/6/1999,Tarzan,/movie/Tarzan#tab=summary,145000000,171091819,448191819,34221968,G,Adventure,3131,88,1999,117.99,309.10
242,20/2/2014,Mr. Peabody & Sherman,/movie/Mr-Peabody-and-Sherman#tab=summary,145000000,111506430,269806430,32207057,PG,Adventure,3951,91,2014,76.90,186.07
243,20/11/2012,Rise of the Guardians,/movie/Rise-of-the-Guardians#tab=summary,145000000,103412758,306900902,23773465,PG,Adventure,3672,97,2012,71.32,211.66
244,8/4/2005,Sahara,/movie/Sahara#tab=summary,145000000,68671925,121645390,18068372,PG-13,Adventure,3200,124,2005,47.36,83.89
245,13/7/2016,Ghostbusters,/movie/Ghostbusters-(2016)#tab=summary,144000000,128350574,229008658,46018755,PG-13,Comedy,3963,117,2016,89.13,159.03
246,22/11/2002,Die Another Day,/movie/Die-Another-Day#tab=summary,142000000,160942139,431942139,47072040,PG-13,Action,3377,133,2002,113.34,304.18
247,9/7/2003,Pirates of the Caribbean: The Curse of the Blac…,/movie/Pirates-of-the-Caribbean-The-Curse-of-the-Black-Pearl#tab=summary,140000000,305410819,654310819,NA,NA,NA,NA,NA,2003,218.15,467.36
248,8/5/2009,Star Trek,/movie/Star-Trek#tab=summary,140000000,257730019,386839614,79204289,PG-13,Adventure,4053,125,2009,184.09,276.31
249,1/7/1998,Armageddon,/movie/Armageddon#tab=summary,140000000,201578182,554600000,36089972,PG-13,Adventure,3184,150,1998,143.98,396.14
250,3/7/2002,Men in Black 2,/movie/Men-in-Black-2#tab=summary,140000000,190418803,441767803,52148751,PG-13,Action,3641,86,2002,136.01,315.55
251,22/7/2011,Captain America: The First Avenger,/movie/Captain-America-The-First-Avenger#tab=summary,140000000,176654505,370569776,65058524,PG-13,Action,3715,124,2011,126.18,264.69
252,23/1/2016,Kung Fu Panda 3,/movie/Kung-Fu-Panda-3#tab=summary,140000000,143528619,521170825,41282042,PG,Adventure,3987,94,2016,102.52,372.26
253,10/7/1998,Lethal Weapon 4,/movie/Lethal-Weapon-4#tab=summary,140000000,130444603,285400000,34048124,R,Action,3117,127,1998,93.17,203.86
254,27/3/2013,G.I. Joe: Retaliation,/movie/GI-Joe-Retaliation#tab=summary,140000000,122523060,375740705,40501814,PG-13,Action,3734,110,2013,87.52,268.39
255,5/12/2003,The Last Samurai,/movie/Last-Samurai-The#tab=summary,140000000,111110575,456810575,24271354,R,Action,2938,154,2003,79.36,326.29
256,21/12/2005,Fun With Dick And Jane,/movie/Fun-With-Dick-And-Jane#tab=summary,140000000,110550000,203018919,14383515,PG-13,Comedy,3239,90,2005,78.96,145.01
257,5/12/2014,Exodus: Gods and Kings,/movie/Exodus-Gods-and-Kings#tab=summary,140000000,65014513,268314513,24115934,PG-13,Drama,3503,150,2014,46.44,191.65
258,30/6/2016,The BFG,/movie/BFG-The-(2016)#tab=summary,140000000,55483770,199646680,18775350,PG,Adventure,3392,115,2016,39.63,142.60
259,3/10/2019,Gemini Man,/movie/Gemini-Man-(2019)#tab=summary,140000000,48546770,166623705,20552372,PG-13,Action,3642,116,2019,34.68,119.02
260,24/2/2016,Gods of Egypt,/movie/Gods-of-Egypt#tab=summary,140000000,31153464,138836756,14123903,PG-13,Adventure,3117,127,2016,22.25,99.17
261,NA,Desert Warrior,/movie/Desert-Warrior-(2022-Saudi-Arabia)#tab=summary,140000000,0,0,NA,NA,NA,NA,NA,NA,0.00,0.00
262,3/5/2002,Spider-Man,/movie/Spider-Man#tab=summary,139000000,403706375,821706375,114844116,PG-13,Adventure,3876,121,2002,290.44,591.16
263,6/3/2009,Watchmen,/movie/Watchmen#tab=summary,138000000,107509799,186976250,55214334,R,Action,3611,161,2009,77.91,135.49
264,29/7/2005,Stealth,/movie/Stealth#tab=summary,138000000,32116746,76416746,13251545,PG-13,Action,3495,121,2005,23.27,55.37
265,13/6/2008,The Incredible Hulk,/movie/Incredible-Hulk-The#tab=summary,137500000,134806913,265573859,55414050,PG-13,Adventure,3508,112,2008,98.04,193.14
266,20/6/2003,Hulk,/movie/Hulk#tab=summary,137000000,132177234,245031679,62128420,PG-13,Action,3674,138,2003,96.48,178.86
267,11/7/2001,Final Fantasy: The Spirits Within,/movie/Final-Fantasy-The-Spirits-Within#tab=summary,137000000,32131830,85131830,11408853,PG-13,Adventure,2649,106,2001,23.45,62.14
268,14/11/2012,"The Twilight Saga: Breaking Dawn, Part 2",/movie/Twilight-Saga-Breaking-Dawn-Part-2-The#tab=summary,136200000,292324737,829724737,141067634,PG-13,Drama,4070,115,2012,214.63,609.20
269,15/3/2013,The Croods,/movie/Croods-The#tab=summary,135000000,187168425,573068425,43639736,PG,Adventure,4065,98,2013,138.64,424.50
270,25/12/2015,The Revenant,/movie/Revenant-The-(2015)#tab=summary,135000000,183637894,532938302,474560,R,Adventure,3711,156,2015,136.03,394.77
271,19/11/1999,The World is Not Enough,/movie/World-is-Not-Enough-The#tab=summary,135000000,126930660,361730660,35519007,PG-13,Action,3165,128,1999,94.02,267.95
272,4/3/2011,Rango,/movie/Rango#tab=summary,135000000,123477607,245724600,38079323,PG,Adventure,3923,107,2011,91.46,182.02
273,14/11/2003,Master and Commander: The Far Side of the World,/movie/Master-and-Commander-The-Far-Side-of-the-World#tab=summary,135000000,93926386,212912137,25105990,PG-13,Adventure,3101,139,2003,69.58,157.71
274,17/7/2013,Turbo,/movie/Turbo#tab=summary,135000000,83028130,286896578,21312625,PG,Adventure,3809,96,2013,61.50,212.52
275,2/6/2016,Teenage Mutant Ninja Turtles: Out of the Shadows,/movie/Teenage-Mutant-Ninja-Turtles-Out-of-the-Shadows#tab=summary,135000000,82051601,245328374,35316382,PG-13,Adventure,4071,112,2016,60.78,181.72
276,18/11/2011,Happy Feet Two,/movie/Happy-Feet-2#tab=summary,135000000,64006466,157956466,21237068,PG,Adventure,3611,99,2011,47.41,117.00
277,28/7/2006,Miami Vice,/movie/Miami-Vice-(2006)#tab=summary,135000000,63478838,164920076,25723815,R,Action,3026,132,2006,47.02,122.16
278,31/10/2018,The Nutcracker and the Four Realms,/movie/Nutcracker-and-the-Four-Realms-The-(2018)#tab=summary,132900000,54858851,170024300,20352491,PG,Adventure,3766,99,2018,41.28,127.93
279,24/6/2005,War of the Worlds,/movie/War-of-the-Worlds#tab=summary,132000000,234280354,606836535,64878725,PG-13,Action,3910,116,2005,177.49,459.72
280,26/11/2014,Penguins of Madagascar,/movie/Penguins-of-Madagascar#tab=summary,132000000,83350911,366942531,25447444,PG,Adventure,3775,92,2014,63.14,277.99
281,15/11/2013,The Hunger Games: Catching Fire,/movie/Hunger-Games-Catching-Fire-The#tab=summary,130000000,424668047,864868047,158074286,PG-13,Adventure,4163,146,2013,326.67,665.28
282,31/5/2004,Harry Potter and the Prisoner of Azkaban,/movie/Harry-Potter-and-the-Prisoner-of-Azkaban#tab=summary,130000000,249757726,789592708,93687367,PG,Adventure,3855,141,2004,192.12,607.38
283,3/8/2007,The Bourne Ultimatum,/movie/Bourne-Ultimatum-The#tab=summary,130000000,227471070,444043396,69283690,PG-13,Thriller/Suspense,3701,113,2007,174.98,341.57
284,3/7/2018,Ant-Man and the Wasp,/movie/Ant-Man-and-the-Wasp#tab=summary,130000000,216648740,623144660,75812205,PG-13,Action,4206,118,2018,166.65,479.34
285,6/6/2008,Kung Fu Panda,/movie/Kung-Fu-Panda#tab=summary,130000000,215434591,631910531,60239130,PG,Adventure,4136,91,2008,165.72,486.09
286,14/7/2015,Ant-Man,/movie/Ant-Man#tab=summary,130000000,180202163,518858449,57225526,PG-13,Action,3868,117,2015,138.62,399.12
287,19/3/2015,Home,/movie/Home-(2015)#tab=summary,130000000,177397510,385997896,52107731,PG,Adventure,3801,94,2015,136.46,296.92
288,19/12/2018,Mary Poppins Returns,/movie/Mary-Poppins-Returns-(2018)#tab=summary,130000000,171958438,348901032,23523121,PG,Musical,4090,130,2018,132.28,268.39
289,28/10/2011,Puss in Boots,/movie/Puss-in-Boots#tab=summary,130000000,149260504,554987477,34077439,PG,Adventure,3963,90,2011,114.82,426.91
290,5/11/2010,Megamind,/movie/Megamind#tab=summary,130000000,148415853,321887208,46016833,PG,Adventure,3949,95,2010,114.17,247.61
291,18/7/2003,Bad Boys II,/movie/Bad-Boys-II#tab=summary,130000000,138540870,273271982,46522560,R,Action,3202,140,2003,106.57,210.21
292,20/3/2014,Rio 2,/movie/Rio-2#tab=summary,130000000,131538435,492846291,39327869,G,Adventure,3975,101,2014,101.18,379.11
293,23/7/2010,Salt,/movie/Salt#tab=summary,130000000,118311368,290650494,36011243,PG-13,Thriller/Suspense,3612,100,2010,91.01,223.58
294,27/3/2014,Noah,/movie/Noah#tab=summary,130000000,101200044,352831065,43720472,PG-13,Drama,3571,137,2014,77.85,271.41
295,28/10/2011,The Adventures of Tintin,/movie/Adventures-of-Tintin-The#tab=summary,130000000,77591831,373993951,9720993,PG,Adventure,3087,104,2011,59.69,287.69
296,31/5/2013,After Earth,/movie/After-Earth#tab=summary,130000000,60522097,251499665,27520040,PG-13,Action,3401,99,2013,46.56,193.46
297,26/11/2008,Australia,/movie/Australia-(2008)#tab=summary,130000000,49554002,215080810,14800723,PG-13,Drama,2721,165,2008,38.12,165.45
298,19/7/2013,R.I.P.D.,/movie/RIPD#tab=summary,130000000,33618855,79076678,12691415,PG-13,Action,2852,98,2013,25.86,60.83
299,3/1/2019,How to Train Your Dragon: The Hidden World,/movie/How-to-Train-Your-Dragon-The-Hidden-World-(2019)#tab=summary,129000000,160799505,521214533,55022245,PG,Adventure,4286,104,2019,124.65,404.04
300,18/11/2011,"The Twilight Saga: Breaking Dawn, Part 1",/movie/Twilight-Saga-Breaking-Dawn-Part-1-The#tab=summary,127500000,281287133,688288353,138122261,PG-13,Drama,4066,117,2011,220.62,539.83
301,19/5/2000,Dinosaur,/movie/Dinosaur#tab=summary,127500000,137748063,356148063,38854851,PG,Adventure,3319,82,2000,108.04,279.33
302,23/2/2017,Logan,/movie/Logan-(2017)#tab=summary,127000000,226277068,614202315,88411916,R,Action,4071,135,2017,178.17,483.62
303,18/12/2014,Night at the Museum: Secret of the Tomb,/movie/Night-at-the-Museum-Secret-of-the-Tomb#tab=summary,127000000,113746621,353756621,17100520,PG,Adventure,3914,97,2014,89.56,278.55
304,13/7/2011,Harry Potter and the Deathly Hallows: Part II,/movie/Harry-Potter-and-the-Deathly-Hallows-Part-II#tab=summary,125000000,381193157,1316355322,169189427,PG-13,Adventure,4375,131,2011,304.95,1053.08
305,19/11/2014,The Hunger Games: Mockingjay - Part 1,/movie/Hunger-Games-Mockingjay-Part-1-The#tab=summary,125000000,337135885,766575131,121897634,PG-13,Thriller/Suspense,4151,123,2014,269.71,613.26
306,15/11/2001,Harry Potter and the Sorcerer’s Stone,/movie/Harry-Potter-and-the-Sorcerers-Stone#tab=summary,125000000,317871467,965054122,90294621,PG,Adventure,3672,152,2001,254.30,772.04
307,4/12/2019,Jumanji: The Next Level,/movie/Jumanji-The-Next-Level#tab=summary,125000000,316831246,798332900,59251543,PG-13,Adventure,4227,123,2019,253.46,638.67
308,17/11/2010,Harry Potter and the Deathly Hallows: Part I,/movie/Harry-Potter-and-the-Deathly-Hallows-Part-I#tab=summary,125000000,296131568,951767705,125017372,PG-13,Adventure,4125,146,2010,236.91,761.41
309,19/5/2006,The Da Vinci Code,/movie/Da-Vinci-Code-The#tab=summary,125000000,217536138,767820459,77073388,PG-13,Thriller/Suspense,3757,152,2006,174.03,614.26
310,30/4/2003,X-Men 2,/movie/X-Men-2-(2003)#tab=summary,125000000,214949694,406348630,85558731,PG-13,Action,3749,135,2003,171.96,325.08
311,21/4/2011,Fast Five,/movie/Fast-Five#tab=summary,125000000,210031325,630163454,86198765,PG-13,Action,3793,130,2011,168.03,504.13
312,8/8/2014,Teenage Mutant Ninja Turtles,/movie/Teenage-Mutant-Ninja-Turtles-(2014)#tab=summary,125000000,191204754,485004754,65575105,PG-13,Adventure,3980,101,2014,152.96,388.00
313,16/12/2011,Sherlock Holmes: A Game of Shadows,/movie/Sherlock-Holmes-A-Game-of-Shadows-(2011)#tab=summary,125000000,186848418,535663443,39637079,PG-13,Action,3703,129,2011,149.48,428.53
314,27/5/2004,The Day After Tomorrow,/movie/Day-After-Tomorrow-The#tab=summary,125000000,186740799,555840117,68743584,PG-13,Adventure,3444,123,2004,149.39,444.67
315,17/3/2017,The Boss Baby,/movie/Boss-Baby-The#tab=summary,125000000,175003033,527965936,50198902,PG,Adventure,3829,97,2017,140.00,422.37
316,1/4/2010,Clash of the Titans,/movie/Clash-of-the-Titans-(2010)#tab=summary,125000000,163214888,493214888,61235105,PG-13,Action,3802,106,2010,130.57,394.57
317,12/10/2016,Trolls,/movie/Trolls#tab=summary,125000000,153707064,343242613,46581142,PG,Adventure,4066,93,2016,122.97,274.59
318,19/5/1998,Godzilla,/movie/Godzilla#tab=summary,125000000,136314294,376000000,93188384,PG-13,Action,3952,123,1998,109.05,300.80
319,30/5/2012,Prometheus,/movie/Prometheus#tab=summary,125000000,126477084,402448265,51050101,R,Thriller/Suspense,3442,124,2012,101.18,321.96
320,10/8/2012,The Bourne Legacy,/movie/Bourne-Legacy-The#tab=summary,125000000,113203870,280355920,38142825,PG-13,Thriller/Suspense,3753,135,2012,90.56,224.28
321,20/6/1997,Batman & Robin,/movie/Batman-and-Robin#tab=summary,125000000,107325195,238317814,42872605,PG-13,Action,2942,125,1997,85.86,190.65
322,5/7/2018,Skyscraper,/movie/Skyscraper#tab=summary,125000000,68420120,304868961,24905015,PG,Action,3822,103,2018,54.74,243.90
323,3/1/2020,The Call of the Wild,/movie/Call-of-the-Wild-The-(2020)#tab=summary,125000000,62342368,107360936,24791624,PG,Adventure,3914,100,2020,49.87,85.89
324,3/8/2012,Total Recall,/movie/Total-Recall-(Remake)#tab=summary,125000000,58877969,211856088,25577758,PG-13,Action,3601,117,2012,47.10,169.48
325,21/12/2016,Assassin’s Creed,/movie/Assassins-Creed#tab=summary,125000000,54647948,240759682,10278225,PG-13,Action,2996,116,2016,43.72,192.61
326,29/12/2016,Monster Trucks,/movie/Monster-Trucks#tab=summary,125000000,33370166,61642798,10950705,PG-13,Adventure,3119,104,2016,26.70,49.31
327,27/8/1999,The 13th Warrior,/movie/13th-Warrior-The#tab=summary,125000000,32698899,61698899,10267756,R,Action,2313,103,1999,26.16,49.36
328,17/11/2000,How the Grinch Stole Christmas,/movie/How-the-Grinch-Stole-Christmas-(2000)#tab=summary,123000000,260348825,345445403,55820330,PG,Adventure,3256,105,2000,211.67,280.85
329,24/5/2000,Mission: Impossible 2,/movie/Mission-Impossible-2#tab=summary,120000000,215409889,549588516,57845297,PG-13,Action,3669,126,2000,179.51,457.99
330,30/6/2000,The Perfect Storm,/movie/Perfect-Storm-The#tab=summary,120000000,182618434,328711434,41325042,PG-13,Drama,3407,129,2000,152.18,273.93
331,20/7/2016,Jason Bourne,/movie/Jason-Bourne#tab=summary,120000000,162192920,416168316,59215365,PG-13,Action,4039,123,2016,135.16,346.81
332,10/2/2022,Uncharted,/movie/Uncharted-(2022)#tab=summary,120000000,148648820,401748820,44010155,PG-13,Adventure,4275,116,2022,123.87,334.79
